label,youtube_ID,time_start,time_end,split,full_links,,DONOT DELETE
slapping,--7goKgS4kc  ,15,25,train,https://www.youtube.com/watch?v=--7goKgS4kc  ,,https://www.youtube.com/watch?v=
slapping,=-BU2VvyeiqE,20,30,train,https://www.youtube.com/watch?v=-BU2VvyeiqE,,https://www.youtube.com/watch?v=
slapping,=-CeWqU9BY1I,0,10,train,https://www.youtube.com/watch?v=-CeWqU9BY1I,,https://www.youtube.com/watch?v=
slapping,=-JSKMmYDYaE,0,10,train,https://www.youtube.com/watch?v=-JSKMmYDYaE,,https://www.youtube.com/watch?v=
slapping,=-JxGutL8mz0,50,60,train,https://www.youtube.com/watch?v=-JxGutL8mz0 ,,https://www.youtube.com/watch?v=
slapping,=-LPF0zV6OWs,1,11,train,https://www.youtube.com/watch?v=-LPF0zV6OWs ,,https://www.youtube.com/watch?v=
slapping,=-OrCLGVc8iQ,10,20,train,https://www.youtube.com/watch?v=-OrCLGVc8iQ ,,https://www.youtube.com/watch?v=
slapping,=-VWe8IWTFA4,1,11,train,https://www.youtube.com/watch?v=-VWe8IWTFA4 ,,https://www.youtube.com/watch?v=
slapping,=-VjtbdADLGA,62,72,train,https://www.youtube.com/watch?v=-VjtbdADLGA ,,https://www.youtube.com/watch?v=
slapping,=-YhXs46MJdA,5,15,train,https://www.youtube.com/watch?v=-YhXs46MJdA ,,https://www.youtube.com/watch?v=
slapping,=-_DaD04hDww,57,67,train,https://www.youtube.com/watch?v=-_DaD04hDww ,,https://www.youtube.com/watch?v=
slapping,=-d7lSkOl0ZU,121,131,train,https://www.youtube.com/watch?v=-d7lSkOl0ZU ,,https://www.youtube.com/watch?v=
slapping,=-B15dCfXm4YX8k,0,10,train,https://www.youtube.com/watch?v=-B15dCfXm4YX8k ,,https://www.youtube.com/watch?v=
slapping,=-fPmZh80nAU,2,12,train,https://www.youtube.com/watch?v=-fPmZh80nAU ,,https://www.youtube.com/watch?v=
slapping,=-jjet2u81Ww,1,11,train,https://www.youtube.com/watch?v=-jjet2u81Ww ,,https://www.youtube.com/watch?v=
slapping,=-kfE7QsXgXA,38,48,train,https://www.youtube.com/watch?v=-kfE7QsXgXA ,,https://www.youtube.com/watch?v=
